,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Trade & Investment,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Trade in Services (TIS),,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: International Trade in Services (TIS),,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Trade In Services By Services Category, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 26/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
      Legal,1774.5,1685,1500.6,1448,1363.8,1255,1122.2,1043,1007.8,870.8,766.8,676.8,643.4,600.1,558.1,528.3,433.5,362.6,364.6,367.4,311.8,285.3,231.3,172,101.8,103.7
      Research And Development,1521.1,1453.6,1549.2,1444.6,1491.5,1176.9,1007.4,1059.4,1095.3,944.4,1054.5,914.6,1148.6,749.9,658.8,612.8,591.4,604.7,389.9,305.5,285.7,196.6,205.6,172.1,180.2,159
      Operating Leasing,5918.1,5839.3,6019,5835.4,5455.8,5273.5,5164.9,4887.7,4291.4,5116.8,5883.3,4902.5,3738.2,3117.9,2719.4,2909.7,2315.5,2215.5,1365.5,1187.4,948.4,869.4,960.9,680.4,778,794
      Trade-Related,17932.1,16963.5,12342.6,11489.4,9180.3,8851,10402.5,8639.3,6852.3,4970.5,5469.1,4899.9,3928.1,5489.9,4808.3,3974.9,3659.5,5327.2,6070.7,7063,2677.5,2895.2,1108.7,935.8,763.3,770.4
      Others,2060,2012.3,1842.4,1643,1532.5,1279.2,1321.8,1031.9,907.5,745.7,577.1,531.2,400.9,254.2,437.7,473.7,609.7,546.5,591.8,460.1,255.3,240.5,115.9,77.4,84.2,94.4
  Imports Of Services,503095.1,487639.5,432590.6,413499.2,335178,293098.7,286545,274170.1,251776.6,219272.6,222299.6,211177.6,187335.7,166097.1,148214.8,137057.4,121130.6,128127,113139.8,103291.2,91628,84115.3,69461.7,59774.2,56606.4,51597.6
    Manufacturing Services On Physical Inputs Owned By Others,11177.5,10445.8,10196.3,11700.4,10495.5,9643.1,8471.2,8133.9,8766.5,7913.7,8341.2,7846.8,6500.5,5349.2,4486.9,4501,3270.7,2556.3,1562.4,1214.2,1140.7,858.3,413.2,502.1,315.7,218.1
    Maintenance And Repair Services,2771.7,2671.7,1862.5,1579,1239.8,1241.3,1546.4,1333.6,1109.6,1207.2,929.3,880.7,845.2,837,872.3,874.1,991,757,546.4,471.4,314.4,237.9,225.2,222.2,195.7,171.2
    Transport,157554,161469.2,150314.2,156667.8,119425.5,99364.5,88537.8,86422.7,70386.8,60066.9,65611.6,57822.3,49280.7,44508.4,41789.4,40303,35759.9,41812,40454,36703.4,33630.5,29946.8,22672.4,19037.5,21607.1,21629.2
      Freight,104475.2,110831.5,108967.4,115857.4,84405.9,68712.3,57888.8,56671.2,47469.6,38081.5,43581.5,36584.5,29938.6,26273.1,26261.7,23493.2,21313.1,28387.4,27428.8,24853,22307.9,19608.7,13828.2,10339.5,13591.1,13848
      Others,53078.8,50637.7,41346.8,40810.4,35019.6,30652.2,30649,29751.5,22917.2,21985.4,22030.1,21237.8,19342.1,18235.3,15527.7,16809.8,14446.8,13424.6,13025.2,11850.4,11322.6,10338.1,8844.2,8698,8016,7781.2
    Travel,44292.7,41166.5,34408.4,21369.1,6086.8,9833.1,38098.1,35738.2,34308.2,33062.3,32524.9,32368.7,30540.3,28915.8,26941.6,25497.3,22840.9,23119.1,20350.9,17904,16761,15704.2,14594.5,14691.7,11843.2,8513.7
    Insurance,9484.9,9766.8,9292.8,10932,7980.5,9161.1,7506.2,6705.2,5563.2,6033,4376.7,3609.4,4257.3,3498.3,3318.6,3240.3,2306.4,2551,2213.8,1972.4,2087.5,2017.5,1894.8,1834.9,1768.6,2121.5
    Government Goods And Services,389.3,385,335.7,327,299.9,288.9,315.6,311.1,293.4,310.3,274.7,295.1,287,256.8,260.8,261.3,320,319.1,280.3,309.7,297.9,281.7,213,202.5,182.4,170
    Construction,1030.1,971.9,832,797.6,791.9,678.8,648.1,748.8,519,514.1,466.9,497.6,679.8,648.8,661.4,686.6,568.2,490.6,340.8,253.5,332.6,571.2,209.6,199,236.8,219.8
    Financial,22821.2,21376.8,18564.6,16722.4,14933.5,13834.6,10250.8,9140.8,7848.2,6458.9,6194,5502,4647.2,4034.2,3915.1,3493.8,2978.7,3566.1,3465.4,2285.9,1524.5,1374.8,1256.6,1059.8,982.1,1038.7
"    Telecommunications, Computer & Information",56160.9,52130.2,40795.6,34988.8,35844.6,31135.5,22683.7,19516.5,20531.7,17374.6,14932.2,20311.2,11792.6,9515.9,7186.1,4487.2,3476.3,3385.7,2786.9,2449,1896,1613.2,1620.8,1519.3,1570.4,1407.2
    Charges For The Use Of Intellectual Property,27053.8,25522.9,22925.7,22829.8,22070.3,21108.1,21028.1,23275,21809.8,21622.5,26672,26452.9,28769.9,28874.5,25590.9,23219.6,19545.8,19248,14785.3,15516.8,15802.9,13613.8,11805,8860.3,8847.5,8791
"    Personal, Cultural And Recreational",1866,1782.2,1719.3,1739.2,1335.4,1059.1,1058.9,926,599,542.3,685.2,625.3,584.1,557.9,577,561.5,445.3,526.1,178,166.9,184.4,198.3,162.7,185.4,104.3,78.5
    Other Business Services,168493,159950.5,141343.5,133846.1,114674.3,95750.6,86400.1,81918.3,80041.2,64166.8,61290.9,54965.6,49151.1,39100.3,32614.7,29931.7,28627.4,29796,26175.6,24044,17655.6,17697.6,14393.9,11459.5,8952.6,7238.7
      Accounting,1125,1084.4,1038.4,955.4,626,636.1,556,486.8,417.4,392,331,290.8,260.1,270.8,222.2,205.4,239.2,226.3,178.4,134,92.1,67.1,45.1,45.2,40.9,34
      Advertising And Market Research,34407.4,32344,29320.3,24219.8,20429,15587.3,13898.5,10265.5,8057.1,4258.7,3808.8,3418.6,3101.4,3057,2390.5,2317,2269.3,2186.6,1961.4,1473.5,1141.1,970.9,729,663.6,631.4,578.7
      Architectural,64.1,61.2,52,59.6,62.4,57.5,52.1,66.8,56.1,72,46.9,56.9,78.8,84.6,62.5,64,51,76.9,130.4,48.6,24.7,17.3,17.2,14.3,22.6,13.6
      Business Management,57317.7,54343.3,48281.6,42835.1,36476.7,31711.6,30668,26665.1,24180.8,21891.3,18749.9,17318.3,15750.8,14672.4,13441.7,10529.3,9931.6,9274.5,8538.1,8312.6,5716.9,5631.5,5970.8,4595.7,3507.5,3016.3
      Engineering And Technical,7472.1,7126.3,7395.5,6954.3,6057.4,5187.6,4438.6,3347.7,3208.7,3323.7,3286.9,3336.6,2755.6,2340.1,1966.9,1749.7,2273.5,1888.5,1271.2,1406.7,924.6,738.8,637.1,476.8,415.8,317.8
      Legal,841.4,812.1,806.5,729.4,721,609.1,456.4,415,360.6,336.7,315.4,298.7,262.6,663.9,234.7,284.5,398.3,327.2,156.1,108.6,102,92.7,101.8,86.2,62.5,66.9
      Research And Development,32748.4,31049.6,29034.8,29175.5,26795.9,23039.3,18227.1,19070,22423.8,14547.3,17126.5,10651.6,11677.6,5949.2,4856.3,4222,4047.2,3853.9,3045.4,3333.5,2302.5,2396.3,2062.2,1790.4,1632.6,1322.8
      Operating Leasing,7466.5,7345.7,6980.9,8502.6,5012.2,3844.9,4767.8,5396.8,5549.6,4843.3,5177.4,7581.7,4437.6,3109.3,1635.9,3638.6,3015.6,3238.9,3038.9,2333.4,1822.8,2034.3,1413.2,1347.9,502.7,416.4
      Trade-Related,26206.6,24961,17839.5,19779.9,17951,14728.9,12960.6,15837.2,15394.7,14106.6,12097,11747.5,10573.2,8792.7,7530,6669.6,6083.2,8492.4,7645.4,6756.3,5391.3,5614.2,3293.4,2380.3,2079.1,1398.9
      Others,843.8,822.9,594,634.5,542.7,348.3,375,367.4,392.4,395.2,351.1,264.9,253.4,160.3,274,251.6,318.5,230.8,210.3,136.8,137.6,134.5,124.1,59.1,57.5,73.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,
Please refer to Technical Notes (https://https://www.singstat.gov.sg/find-data/explore-data-themes/trade-investment/trade-in-services/our-data-explained) for more information on trade in services data sources and compilation methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Exports of Services:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consist of transactions where services are provided from Singapore to overseas trading partners. For example, a Singapore-based shipping company providing freight services to an overseas client, transporting the client’s goods from country A to country B.",,,,,,,,,,,,,,,,,,,,,,,,,,
Imports of Services:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consist of transactions where services are provided from overseas trading partners to Singapore. For example, an overseas law firm providing legal advice by phone or email to a Singapore-based company.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 04/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,
